SpecimensID,Type,Weight,Notes,CreatedDate,LastUpdated
7,Apples,121.0000,Test Potato 2,2021-12-13 03:06:13,2022-02-14 13:57:07
10,Potato,7.0001,AnotherPotato,2021-12-13 17:02:51,2022-03-20 11:56:46
11,Wheat,10.0015,,2021-12-13 20:31:17,2021-12-13 20:33:32
12,Carrot,38.5000,Really orange carrot,2022-03-20 11:44:13,2022-03-20 11:45:06
13,Collard Greens,3.5000,Seriously Nope,2021-12-01 20:13:55,2022-02-14 14:33:56
14,Herbs,37.5000,Good Condition,2022-03-20 13:14:58,2022-03-20 13:15:57
15,Carrot,16.2200,1 short due to Tim doing a quality check,2021-12-16 14:57:01,2022-03-19 20:43:18
16,Spinach,2.0000,,2021-12-16 14:57:39,2021-12-16 14:57:53
17,Spinach,2.8000,,2021-12-16 14:57:57,2021-12-16 14:58:04
18,Apples,200.0000,Heavy,2021-12-16 15:02:36,2022-03-20 11:56:01
20,Carrot,35.0000,Very Orange,2022-01-08 15:25:23,2022-03-19 20:43:09
21,Apricots,14.5000,,2021-12-16 14:49:00,2022-03-20 11:52:23
22,Apricots,7.9972,,2021-12-16 14:49:00,2021-12-16 14:49:00
23,Apricots,13.7452,,2021-12-16 14:49:00,2021-12-16 14:49:00
24,Apricots,15.3320,,2021-12-16 14:49:00,2021-12-16 14:49:00
25,Radishes,5.4586,Radical,2022-03-20 11:09:49,2022-03-20 11:10:06
26,Apricots,8.4692,,2021-12-16 14:49:00,2021-12-16 14:49:00
27,Apricots,18.2846,,2021-12-16 14:49:00,2021-12-16 14:49:00
28,Apricots,16.6683,,2021-12-16 14:49:00,2021-12-16 14:49:00
29,Apricots,17.1345,,2021-12-16 14:49:00,2021-12-16 14:49:00
30,Apricots,5.6498,,2021-12-16 14:49:00,2021-12-16 14:49:00
31,Apricots,9.1199,,2021-12-16 14:49:00,2021-12-16 14:49:00
32,Apricots,12.5199,,2021-12-16 14:49:00,2021-12-16 14:49:00
33,Apricots,11.9518,Has a small root,2021-12-16 14:49:00,2022-03-20 11:34:16
34,Asparagus,28.6835,,2021-12-16 14:49:00,2021-12-16 14:49:00
35,Asparagus,16.9000,,2021-12-16 14:49:00,2022-02-14 14:39:59
36,Asparagus,17.0595,,2021-12-16 14:49:00,2021-12-16 14:49:00
37,Asparagus,17.0001,,2021-12-16 14:49:00,2021-12-16 14:49:00
38,Asparagus,30.4000,,2021-12-16 14:49:00,2021-12-16 14:49:00
39,Avocados,36.2850,,2021-12-16 14:49:00,2021-12-16 14:49:00
40,Avocados,17.4206,,2021-12-16 14:49:00,2021-12-16 14:49:00
41,Avocados,27.7258,,2021-12-16 14:49:00,2021-12-16 14:49:00
42,Avocados,30.3582,,2021-12-16 14:49:00,2021-12-16 14:49:00
43,Avocados,21.7247,,2021-12-16 14:49:00,2021-12-16 14:49:00
44,Avocados,33.0063,,2021-12-16 14:49:00,2021-12-16 14:49:00
45,Avocados,19.8275,,2021-12-16 14:49:00,2021-12-16 14:49:00
46,Avocados,32.0618,,2021-12-16 14:49:00,2021-12-16 14:49:00
47,Avocados,30.8131,,2021-12-16 14:49:00,2021-12-16 14:49:00
48,Avocados,24.4291,,2021-12-16 14:49:00,2021-12-16 14:49:00
49,Avocados,19.3801,,2021-12-16 14:49:00,2021-12-16 14:49:00
50,Avocados,35.9047,,2021-12-16 14:49:00,2021-12-16 14:49:00
51,Avocados,15.1664,,2021-12-16 14:49:00,2021-12-16 14:49:00
53,Bananas,19.5160,,2021-12-16 14:49:00,2022-03-20 13:36:04
54,Bananas,19.6926,,2021-12-16 14:49:00,2021-12-16 14:49:00
57,Bananas,10.4495,,2021-12-16 14:49:00,2022-03-20 13:29:27
58,Bananas,9.2867,,2021-12-16 14:49:00,2021-12-16 14:49:00
59,Bananas,16.2027,,2021-12-16 14:49:00,2021-12-16 14:49:00
60,Bananas,17.7248,,2021-12-16 14:49:00,2021-12-16 14:49:00
61,Bananas,14.6073,,2021-12-16 14:49:00,2021-12-16 14:49:00
62,Bananas,17.3663,,2021-12-16 14:49:00,2021-12-16 14:49:00
63,Bananas,20.0055,,2021-12-16 14:49:00,2021-12-16 14:49:00
64,Bananas,20.1869,,2021-12-16 14:49:00,2021-12-16 14:49:00
65,Bananas,22.4703,,2021-12-16 14:49:00,2021-12-16 14:49:00
66,Bananas,3.7574,,2021-12-16 14:49:00,2021-12-16 14:49:00
67,Bananas,21.6734,,2021-12-16 14:49:00,2021-12-16 14:49:00
68,Bananas,8.3802,,2021-12-16 14:49:00,2021-12-16 14:49:00
69,Bananas,7.4080,,2021-12-16 14:49:00,2021-12-16 14:49:00
70,Bananas,13.2883,,2021-12-16 14:49:00,2021-12-16 14:49:00
71,Bananas,23.3518,,2021-12-16 14:49:00,2021-12-16 14:49:00
72,Bananas,8.4241,,2021-12-16 14:49:00,2021-12-16 14:49:00
73,Bananas,10.3191,,2021-12-16 14:49:00,2021-12-16 14:49:00
74,Bananas,23.4449,,2021-12-16 14:49:00,2021-12-16 14:49:00
75,Bananas,17.0176,,2021-12-16 14:49:00,2021-12-16 14:49:00
76,Bananas,13.3561,,2021-12-16 14:49:00,2021-12-16 14:49:00
77,Bananas,15.3570,,2021-12-16 14:49:00,2021-12-16 14:49:00
78,Broccoli,28.6518,,2021-12-16 14:49:00,2021-12-16 14:49:00
79,Broccoli,25.7565,,2021-12-16 14:49:00,2021-12-16 14:49:00
80,Broccoli,18.3196,,2021-12-16 14:49:00,2021-12-16 14:49:00
81,Broccoli,29.6629,,2021-12-16 14:49:00,2021-12-16 14:49:00
82,Broccoli,29.6919,,2021-12-16 14:49:00,2021-12-16 14:49:00
83,Broccoli,28.3066,,2021-12-16 14:49:00,2021-12-16 14:49:00
84,Broccoli,30.8008,,2021-12-16 14:49:00,2021-12-16 14:49:00
85,Broccoli,25.9816,,2021-12-16 14:49:00,2021-12-16 14:49:00
86,Broccoli,26.8865,,2021-12-16 14:49:00,2021-12-16 14:49:00
87,Broccoli,16.9386,,2021-12-16 14:49:00,2021-12-16 14:49:00
88,Broccoli,20.6984,,2021-12-16 14:49:00,2021-12-16 14:49:00
89,Broccoli,26.0860,,2021-12-16 14:49:00,2021-12-16 14:49:00
90,Broccoli,21.3036,,2021-12-16 14:49:00,2021-12-16 14:49:00
91,Broccoli,28.9310,,2021-12-16 14:49:00,2021-12-16 14:49:00
92,Broccoli,23.9306,,2021-12-16 14:49:00,2021-12-16 14:49:00
93,Cabbage,8.8337,,2021-12-16 14:49:00,2021-12-16 14:49:00
94,Cabbage,8.8116,,2021-12-16 14:49:00,2021-12-16 14:49:00
95,Cabbage,11.2736,,2021-12-16 14:49:00,2021-12-16 14:49:00
96,Cabbage,10.8351,,2021-12-16 14:49:00,2021-12-16 14:49:00
97,Cabbage,10.1660,,2021-12-16 14:49:00,2021-12-16 14:49:00
98,Cabbage,9.7407,,2021-12-16 14:49:00,2021-12-16 14:49:00
99,Cabbage,9.8522,,2021-12-16 14:49:00,2021-12-16 14:49:00
100,Cabbage,9.7491,,2021-12-16 14:49:00,2021-12-16 14:49:00
101,Celery,93.9810,,2021-12-16 14:49:00,2021-12-16 14:49:00
102,Celery,23.9666,,2021-12-16 14:49:00,2021-12-16 14:49:00
103,Celery,221.9970,,2021-12-16 14:49:00,2021-12-16 14:49:00
104,Celery,58.2430,,2021-12-16 14:49:00,2021-12-16 14:49:00
105,Celery,198.6485,,2021-12-16 14:49:00,2021-12-16 14:49:00
106,Celery,83.4727,,2021-12-16 14:49:00,2021-12-16 14:49:00
107,Celery,47.7490,,2021-12-16 14:49:00,2021-12-16 14:49:00
108,Celery,43.0051,,2021-12-16 14:49:00,2021-12-16 14:49:00
109,Celery,117.4750,,2021-12-16 14:49:00,2021-12-16 14:49:00
110,Celery,103.6093,,2021-12-16 14:49:00,2021-12-16 14:49:00
111,Celery,83.8934,,2021-12-16 14:49:00,2021-12-16 14:49:00
112,Celery,70.1902,,2021-12-16 14:49:00,2021-12-16 14:49:00
113,Celery,86.5207,,2021-12-16 14:49:00,2021-12-16 14:49:00
114,Collard Greens,57.6585,,2021-12-16 14:49:00,2021-12-16 14:49:00
115,Collard Greens,118.9645,,2021-12-16 14:49:00,2021-12-16 14:49:00
116,Garlic,25.6780,,2021-12-16 14:49:00,2021-12-16 14:49:00
117,Garlic,30.6237,,2021-12-16 14:49:00,2021-12-16 14:49:00
118,Garlic,28.0759,,2021-12-16 14:49:00,2021-12-16 14:49:00
119,Garlic,56.3029,,2021-12-16 14:49:00,2021-12-16 14:49:00
120,Garlic,42.4938,,2021-12-16 14:49:00,2021-12-16 14:49:00
121,Garlic,63.3167,,2021-12-16 14:49:00,2021-12-16 14:49:00
122,Garlic,63.0050,,2021-12-16 14:49:00,2021-12-16 14:49:00
123,Herbs,36.9076,,2021-12-16 14:49:00,2021-12-16 14:49:00
124,Herbs,15.1567,,2021-12-16 14:49:00,2021-12-16 14:49:00
125,Herbs,16.1701,,2021-12-16 14:49:00,2021-12-16 14:49:00
126,Herbs,80.3152,,2021-12-16 14:49:00,2021-12-16 14:49:00
127,Herbs,33.3681,,2021-12-16 14:49:00,2021-12-16 14:49:00
136,Kiwifruit,4.1312,,2021-12-16 14:49:00,2021-12-16 14:49:00
137,Kiwifruit,3.8633,,2021-12-16 14:49:00,2021-12-16 14:49:00
138,Kiwifruit,2.8306,,2021-12-16 14:49:00,2021-12-16 14:49:00
139,Kiwifruit,9.2426,,2021-12-16 14:49:00,2021-12-16 14:49:00
140,Kiwifruit,4.6966,,2021-12-16 14:49:00,2021-12-16 14:49:00
141,Kiwifruit,7.4590,,2021-12-16 14:49:00,2021-12-16 14:49:00
142,Kiwifruit,3.1433,,2021-12-16 14:49:00,2021-12-16 14:49:00
143,Kiwifruit,7.2020,,2021-12-16 14:49:00,2021-12-16 14:49:00
144,Kiwifruit,2.9694,,2021-12-16 14:49:00,2021-12-16 14:49:00
145,Kiwifruit,9.8096,,2021-12-16 14:49:00,2021-12-16 14:49:00
146,Kiwifruit,7.7770,,2021-12-16 14:49:00,2021-12-16 14:49:00
147,Kiwifruit,8.0594,,2021-12-16 14:49:00,2021-12-16 14:49:00
148,Kiwifruit,2.8459,,2021-12-16 14:49:00,2021-12-16 14:49:00
149,Kiwifruit,4.6880,,2021-12-16 14:49:00,2021-12-16 14:49:00
150,Lemons,128.7703,,2021-12-16 14:49:00,2021-12-16 14:49:00
151,Lemons,111.1557,,2021-12-16 14:49:00,2021-12-16 14:49:00
152,Lemons,94.9408,,2021-12-16 14:49:00,2021-12-16 14:49:00
153,Lemons,107.3258,,2021-12-16 14:49:00,2021-12-16 14:49:00
154,Lemons,91.5961,,2021-12-16 14:49:00,2021-12-16 14:49:00
155,Lemons,10.1417,,2021-12-16 14:49:00,2021-12-16 14:49:00
156,Lemons,16.3921,,2021-12-16 14:49:00,2021-12-16 14:49:00
157,Lemons,22.6294,,2021-12-16 14:49:00,2021-12-16 14:49:00
158,Lemons,34.7230,,2021-12-16 14:49:00,2021-12-16 14:49:00
159,Lemons,13.4975,,2021-12-16 14:49:00,2021-12-16 14:49:00
160,Lemons,23.5182,,2021-12-16 14:49:00,2021-12-16 14:49:00
161,Lemons,19.5125,,2021-12-16 14:49:00,2021-12-16 14:49:00
162,Lemons,22.5730,,2021-12-16 14:49:00,2021-12-16 14:49:00
163,Lemons,91.6915,,2021-12-16 14:49:00,2021-12-16 14:49:00
164,Lemons,27.5811,,2021-12-16 14:49:00,2021-12-16 14:49:00
165,Lemons,17.3009,,2021-12-16 14:49:00,2021-12-16 14:49:00
166,Lettuce,39.5418,,2021-12-16 14:49:00,2021-12-16 14:49:00
167,Lettuce,26.9678,,2021-12-16 14:49:00,2021-12-16 14:49:00
